Data,Conteúdo,Título do vídeo,Horário de publicação do vídeo,Duração,Visualizações intencionais
2026-08-27,LP9AF64aqlM,O Navio Insubmersível Que Evaporou 25 Pessoas! #Shorts,"Aug 24, 2026",53,1
2026-08-28,LP9AF64aqlM,O Navio Insubmersível Que Evaporou 25 Pessoas! #Shorts,"Aug 24, 2026",53,0
2026-08-29,LP9AF64aqlM,O Navio Insubmersível Que Evaporou 25 Pessoas! #Shorts,"Aug 24, 2026",53,0
2026-08-30,LP9AF64aqlM,O Navio Insubmersível Que Evaporou 25 Pessoas! #Shorts,"Aug 24, 2026",53,0
2026-08-23,RXedNE9W-B4,Derinkuyu: A Cidade Subterrânea de 18 Andares ⛏️🏛️ #viral #curiosidades #historias #fatoscuriosos,"Aug 27, 2026",59,0
2026-08-24,RXedNE9W-B4,Derinkuyu: A Cidade Subterrânea de 18 Andares ⛏️🏛️ #viral #curiosidades #historias #fatoscuriosos,"Aug 27, 2026",59,0
2026-08-25,RXedNE9W-B4,Derinkuyu: A Cidade Subterrânea de 18 Andares ⛏️🏛️ #viral #curiosidades #historias #fatoscuriosos,"Aug 27, 2026",59,0
2026-08-26,RXedNE9W-B4,Derinkuyu: A Cidade Subterrânea de 18 Andares ⛏️🏛️ #viral #curiosidades #historias #fatoscuriosos,"Aug 27, 2026",59,661
2026-08-27,RXedNE9W-B4,Derinkuyu: A Cidade Subterrânea de 18 Andares ⛏️🏛️ #viral #curiosidades #historias #fatoscuriosos,"Aug 27, 2026",59,34
2026-08-28,RXedNE9W-B4,Derinkuyu: A Cidade Subterrânea de 18 Andares ⛏️🏛️ #viral #curiosidades #historias #fatoscuriosos,"Aug 27, 2026",59,28
2026-08-29,RXedNE9W-B4,Derinkuyu: A Cidade Subterrânea de 18 Andares ⛏️🏛️ #viral #curiosidades #historias #fatoscuriosos,"Aug 27, 2026",59,11
2026-08-30,RXedNE9W-B4,Derinkuyu: A Cidade Subterrânea de 18 Andares ⛏️🏛️ #viral #curiosidades #historias #fatoscuriosos,"Aug 27, 2026",59,13
