Conteúdo,Título do vídeo,Horário de publicação do vídeo,Duração,Visualizações intencionais,Duração média da visualização,Porcentagem visualizada média (%),Continuaram assistindo (%),Alcance único,Visualizações,Tempo de exibição (horas),Inscritos,Impressões de miniaturas,Taxa de cliques na miniatura (%)
hwVCDToTV2M,O Templo Impossível Que a Ciência Não Explica #Shorts,"Aug 23, 2026",46,519,0:00:45,98.49,49.01,960,1210,6.7611,5,49,4.08
WpNhRBPRE8s,A Anomalia de 2.000 Anos: O Túnel de Hércules em Gadir 🏛️🌊 #curiosidades #viral #historias,"Aug 28, 2026",82,414,0:00:47,57.56,61.33,533,696,5.5234,3,14,0
tcf93kR9Ris,A Tumba Proibida Que Ninguém Ousa Abrir! #Shorts,"Aug 24, 2026",41,324,0:00:37,92.35,47.23,613,772,3.5523,2,57,3.51
ZwPR7j33gZs,A Enigmática Cidade das Pedras Submersas de Yonaguni 🌊🏛️ #curiosidades #viral #historias  #misterios,"Aug 28, 2026",56,267,0:01:16,136.18,44.43,514,626,5.7644,0,34,0
WwgWH-9c6Ig,A Anomalia Atmosférica de Tunguska: O Dia em que a Terra Explodiu ☄️💥 #curiosidades #viral #historia,"Aug 28, 2026",61,215,0:00:36,60.56,47.67,348,479,2.2837,0,18,5.56
zUFLVX1ZWz4,A Tragédia Oculta da Expedição Franklin e os Navios Perdidos no Gelo ❄️🚢 #curiosidades #viral,"Aug 28, 2026",69,172,0:00:40,58.17,52.76,253,326,1.9751,0,23,0
ftb8d59MkSc,O Estranho Fenômeno das Pedras Andantes do Vale da Morte 🏜️🪨 #curiosidades #viral #historias,"Aug 28, 2026",76,121,0:04:07,325.29,46.01,192,241,8.3435,0,27,0
k21Qn78yCyY,O Fogo Fantasma Que Dança no Avião! #Shorts,"Aug 24, 2026",48,55,0:00:24,50.35,42.97,110,128,0.394,0,27,0
T7dPiZa7pkI,O Enigma do Passo Dyatlov nos Montes Urais 🏔️❄️ #curiosidades #viral #historias #fatoscuriosos,"Aug 27, 2026",65,50,0:00:34,53.37,38.76,112,126,0.5057,0,51,1.96
AB8s9NZ11a8,O Verme Zumbi Que Dissolve Ossos no Fundo do Mar! #Shorts,"Aug 24, 2026",34,36,0:00:10,31.61,52.17,57,67,0.118,0,354,5.37
PZin7FPDZgs,O Abismo da Fossa das Marianas: O Fundo do Oceano 🌊👁️ #curiosidades #viral #historias #misterio,"Aug 27, 2026",62,31,0:00:17,28.25,51.79,44,54,0.1595,0,181,2.76
iUU2i8QGW0I,O Parasita Que Cria Monstros Mutantes! #Shorts,"Aug 24, 2026",47,22,0:00:19,41.09,75.86,28,28,0.1205,0,143,4.2
gbLbL2AdE94,O Poço Mais Fundo da Terra e os Sons de Kola 🕳️🇷🇺 #viral #curiosidades #historias #fatoscuriosos,"Aug 27, 2026",62,20,0:00:34,55.16,66.67,26,31,0.1944,0,71,1.41
yXJs7P_ae1E,O Radar Duga de Chernobyl: O Pica-Pau Russo 📻☢️ #curiosidades #viral #historias #fatoscuriosos,"Aug 27, 2026",63,18,0:00:37,59.24,52.94,21,35,0.1914,1,177,1.69
ITs4yW-wEqI,O Buraco Negro Errante Que Vaga Pela Galáxia! #Shorts,"Aug 23, 2026",43,15,0:00:34,81.37,75,19,26,0.1478,0,83,4.82
qRP9RmKror0,O Parasita que Virou a Língua do Peixe! #Shorts,"Aug 23, 2026",43,14,0:00:16,39.3,56,20,25,0.0695,0,75,4
Jg2h7_XZyjQ,A Base Submarina de Balaklava: O Segredo de Stalin Revelado ⚓️☢️ #curiosidades #viral #historias,"Aug 27, 2026",74,13,0:00:35,47.99,70.59,14,21,0.1303,0,79,5.06
taE4n65iL54,O Misterioso Sinal BLC1: A Mensagem Que Veio de Próxima Centauri 📡✨ #curiosidades #viral #historias,"Aug 27, 2026",68,12,0:00:18,27.3,60,13,16,0.0621,0,65,1.54
dsjyY9DclOw,As Cavernas Impossíveis Que a Ciência Não Explica! #Shorts,"Aug 24, 2026",56,11,0:00:37,67.79,28.95,29,39,0.1261,0,80,1.25
qg-z7GpMgcI,A Anomalia Magnética Oculta Sob o Gelo da Antártida 🧊⚠️ #curiosidades #viral #historias #misterio,"Aug 27, 2026",53,9,0:00:33,63.14,40.91,23,27,0.0915,0,69,0
c1vX7tQCUOE,Abri o cofre do meu pai e achei meu laudo de morte #Shorts,"Aug 26, 2026",44,9,0:00:21,49.31,20.45,39,45,0.0652,1,27,3.7
uRftrS84bvU,Oumuamua: A Nave Alienígena ou Apenas uma Rocha? ☄️🛸,"Aug 27, 2026",65,9,0:00:26,40.52,81.82,10,13,0.0673,0,44,0
S46G1W6dVN8,A Caverna Isolada Há 5 Milhões de Anos com um Ecossistema Alienígena 🦠🕳️ #curiosidades #viral,"Aug 27, 2026",68,8,0:00:14,21.49,34.78,17,22,0.0366,0,133,0
BubuD4jAX4A,O Navio Fantasma do Ártico que Vagueou por 38 Anos #Shorts,"Aug 23, 2026",48,7,0:00:50,106.09,63.64,7,14,0.0997,0,55,1.82
qVpRBY4fGGg,O Dedo da Morte Submarino Que Congela Vidas! #Shorts,"Aug 24, 2026",40,6,0:00:10,26.5,60,9,10,0.0194,0,40,2.5
ZbQvNLuWNBs,O Complexo Riese: O Segredo Que Nunca Foi Terminado 🏚️⚡ #curiosidades #viral #historias,"Aug 27, 2026",79,6,0:00:56,71.04,75,5,12,0.0949,0,41,9.76
PvSHcFn4JWg,O Fenômeno das Luzes de Hessdalen: O Mistério Que Desafia a Física 🇳🇴✨,"Aug 27, 2026",90,6,0:00:54,60.84,54.55,12,16,0.0962,0,70,1.43
7LlSuun-op8,O Projeto AZORIAN: O Resgate Impossível da CIA no Fundo do Mar 🌊🕵️‍♂️ #curiosidades #viral #historia,"Aug 27, 2026",53,6,0:00:30,57.48,50,7,15,0.0518,0,50,2
KTkUWWmb1oU,O Sinal Wow! de 1977: A Mensagem Interestelar 📡🌌,"Aug 27, 2026",65,6,0:00:42,65.29,40,9,9,0.0718,0,38,2.63
Yacwwyz3Ykk,O Misterioso Rugido que Ecoa do Céu Limpo! #Shorts,"Aug 23, 2026",49,5,0:01:16,156.8,71.43,7,12,0.1071,1,57,3.51
06Aoe_PdsUg,O Monstro Elétrico Que Sobe Para o Espaço! #Shorts,"Aug 24, 2026",48,5,0:00:13,27.5,62.5,4,8,0.0188,0,34,5.88
Dm8l4C1a0yE,O Projeto MKUltra e as Crianças de Montauk: O Segredo Sombrio 🧠🌀 #curiosidades #viral #historias,"Aug 27, 2026",92,5,0:00:26,28.74,55.56,11,11,0.0421,0,125,0.8
h5UEUXDyDXw,O Bizarro Parasita que Faz Insetos Voarem Sem o Corpo! #Shorts,"Aug 24, 2026",46,4,0:00:33,72.88,66.67,6,6,0.0376,0,62,1.61
9vAcEu8KhRw,O Mistério do Som Bloop no Fundo do Oceano #Shorts,"Aug 23, 2026",42,4,0:00:18,43.69,57.14,7,7,0.0214,0,34,2.94
hIhGjmrZ8bg,O Mistério da Anomalia de Wilkes Land: O Que Está Escondido sob a Antártida? 🧊 #curiosidades #viral,"Aug 28, 2026",86,4,0:00:13,15.7,50,6,7,0.0166,0,19,0
GOgs1W16rvU,A Estrela Zumbi Que Recusa Morrer! #Shorts,"Aug 23, 2026",49,4,0:00:16,33.29,33.33,8,10,0.0203,0,55,3.64
O1kh6PF8Rns,O Mistério das Sete Pedras de Sacsayhuamán 🗿⚡ #curiosidades #viral #historias #fatoscuriosos,"Aug 27, 2026",81,3,0:00:16,20.97,42.86,10,10,0.0165,0,84,0
krF31Prdo2c,A Base Secreta do Ártico: O Complexo Escondido no Permafrost ❄️🕵️‍♂️ #curiosidades #viral #historias,"Aug 28, 2026",69,3,0:00:48,70.54,75,3,5,0.0411,0,16,0
FiYv6VHNnIE,O Radar Duga-2: A Arma Secreta que 'Controlava' o Clima e a Mente 📡🌩️ #curiosidades #viral #historia,"Aug 28, 2026",81,3,0:00:56,70.16,75,3,5,0.0477,0,13,0
2dpAd1jocq8,O Vazio Cósmico Onde 10 Mil Galáxias Sumiram! #Shorts,"Aug 24, 2026",45,3,0:00:11,26.33,75,5,4,0.0102,0,25,0
a3-WZ_uTxn4,O Mistério da Estrela de Tabby: A Megaestrutura Alienígena? 🌟🛸 #curiosidades #viral #historias,"Aug 28, 2026",77,3,0:00:28,37.58,42.86,6,7,0.0258,0,21,0
IFySYT7jlGE,As Pedras Cortadas a Laser Que a Ciência Não Explica! #Shorts,"Aug 24, 2026",45,3,0:00:14,32.22,60,6,6,0.0142,0,30,3.33
Ujtfir_WQZ8,O Monstro Abissal Que Inspirou 'Alien'! #Shorts,"Aug 24, 2026",44,3,0:00:18,42.88,75,4,4,0.0168,0,39,0
yeH96LydvSA,O Parasita Que Cria Mães Zumbis no Fundo do Mar! #Shorts,"Aug 24, 2026",48,3,0:00:22,47.29,25,9,10,0.0204,0,87,1.15
89q5QLJZM5E,O Terrível Vazio de 330 Milhões de Anos-Luz! #Shorts,"Aug 23, 2026",46,3,0:00:31,69.44,42.86,6,7,0.0278,1,40,0
KP0soWVXWso,A Cidade Secreta a 85 Metros Sob a Terra! #Shorts,"Aug 24, 2026",45,2,0:00:25,57.69,20,9,8,0.0188,0,80,0
yUxaUALJ9zg,A Adaga do Espaço Encontrada na Tumba Proibida! #Shorts,"Aug 24, 2026",50,2,0:00:11,22.76,50,4,4,0.0072,0,20,0
8hru2H9dL1Y,A Base Fantasma no Deserto de Nevada: Projeto Area 52 🏜️🚫 #curiosidades #viral #historias,"Aug 27, 2026",79,2,0:00:26,33.23,100,3,5,0.0151,0,25,0
J5QylJBSV-U,A Base Nuclear Secreta Enterrada Sob o Gelo! #Shorts,"Aug 24, 2026",51,2,0:00:05,11.57,16.67,9,11,0.0071,0,48,0
oHoxGGCq8tg,O Parasita que Vira a Língua da Vítima! #Shorts,"Aug 24, 2026",49,2,0:00:06,12.35,100,2,2,0.0034,0,20,0
i4ye8UbYak0,O Templo Impossível Esculpido do Topo da Montanha! #Shorts,"Aug 24, 2026",45,2,0:00:08,17.82,50,3,4,0.005,0,30,3.33
RD34Dq5Hof4,O Verme Alienígena Que Comanda o Suicídio de Insetos! #Shorts,"Aug 24, 2026",50,2,0:00:14,29.33,25,6,11,0.0102,0,51,3.92
IeLfMlQ7HJ4,O Labirinto Subterrâneo Que a Engenharia Não Explica! #Shorts,"Aug 24, 2026",45,2,0:00:12,27.16,50,4,5,0.0078,0,27,3.7
uejIIqwQLTI,O Monstro de 3 Metros Escondido Sob a Areia! #Shorts,"Aug 24, 2026",45,1,0:00:06,14.67,33.33,3,4,0.0025,0,30,0
uNNfn4zQ3SQ,O Bizarro Acasalamento Macabro do Fundo do Mar! #Shorts,"Aug 24, 2026",44,1,0:00:15,35.8,33.33,3,3,0.0047,0,16,6.25
zAIkpTFHDGU,O Fenômeno Inexplicável das Chuvas de Animais e Peixes do Céu 🌧️🐟 #curiosidades #viral #historias,"Aug 28, 2026",71,1,0:00:28,40.14,100,2,2,0.0079,0,19,5.26
3GdV5V4Wyzc,O Disco de 5.000 Anos Que a Ciência Não Explica! #Shorts,"Aug 24, 2026",44,1,0:00:28,63.64,50,2,2,0.0079,0,17,0
aFd1a8OzaNM,O Bizarro Clarão Dançante Que Assustou o Mundo! #Shorts,"Aug 24, 2026",47,1,0:00:13,28.3,33.33,2,3,0.0049,0,18,0
tFblnVM12pw,O Mistério dos Homens Que Evaporaram do Farol! #Shorts,"Aug 24, 2026",45,1,0:00:09,21.56,33.33,3,3,0.0031,0,36,0
dA6Aw9oRmyg,O Lago Que Transforma Animais em Pedra! #Shorts,"Aug 24, 2026",46,1,0:00:07,16.52,20,5,5,0.004,0,21,0
V8opNMFIgaI,O Experimento Secreto Que Infectou Uma Cidade! #Shorts,"Aug 24, 2026",47,0,,,0,4,4,0.0014,0,38,0
QGa6DI6gwxs,O Inseto Que Faz Cirurgia Cerebral em Zumbis! #Shorts,"Aug 24, 2026",48,0,,,0,2,2,0.0004,0,16,0
